price,beds,baths,prop_type,address,link
2825,2,2,Apartment,"Clancy Quay by Kennedy Wilson, South Circular Road, Dublin 8",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-clancy-quay-by-kennedy-wilson-clancy-quay-by-kennedy-wilson-south-circular-road-dublin-8/5799541
2051,2,2,Apartment,"Wyckham Point, Wyckham Way, Dublin 14",https://www.daft.ie/for-rent/apartment-two-bed-apartment-wyckham-point-wyckham-way-dublin-14/5971128
2250,1,1,Apartment,"The Cornerstone, Lower Kilmacud Road, Stillorgan, Co. Dublin",https://www.daft.ie/for-rent/apartment-1-bed-apartment-the-cornerstone-lower-kilmacud-road-stillorgan-co-dublin/5650338
2750,2,2,Apartment,"The Cornerstone, Lower Kilmacud Road, Stillorgan, Co. Dublin",https://www.daft.ie/for-rent/apartment-2-bed-apartment-the-cornerstone-lower-kilmacud-road-stillorgan-co-dublin/5650339
2157,1,1,Apartment,"The Oslo , Sandyford Central , Sandyford, Dublin 18",https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-the-oslo-sandyford-central-sandyford-dublin-18/5426428
2731,2,2,Apartment,"The Oslo , Sandyford Central , Sandyford, Dublin 18",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-the-oslo-sandyford-central-sandyford-dublin-18/5426426
2000,1,1,Apartment,"Palmers Gate, Kennelsfort Road Lower, Palmerstown, Dublin 20",https://www.daft.ie/for-rent/apartment-1-bed-apartment-kennelsfort-road-lower-palmerstown-dublin-20/4729121
4500,2,3,Apartment,"Number 1 Ballsbridge, Shelbourne Road, Dublin 4",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-number-1-ballsbridge-shelbourne-road-dublin-4/2509698
2745,2,2,Apartment,"Shieling Square, Raheny, Dublin 5, Raheny, Dublin 5",https://www.daft.ie/for-rent/apartment-2-bed-shieling-square-raheny-dublin-5-raheny-dublin-5/5630834
3500,3,1,House,"9 The Gables, Ballinteer Road, Ballinteer, Dublin 16",N/A
2750,2,2,Apartment,"Alexandra Quay, York Road, Ringsend, Dublin 4, Ringsend, Dublin 4",N/A
3650,4,2,House,"Virginia Park, Dublin 11, Finglas, Dublin 11",N/A
3000,2,2,Apartment,"32 Glasthule Road, Glasthule, Co. Dublin",N/A
2050,1,1,House,"120 Rialto Cottages, South Circular Road, Rialto, Dublin 8",N/A
1500,1,3,House,"Clontarf Road, Dublin 3, Fairview, Dublin 3",N/A
